id,rodada,time_mandante,gols_mandante,gols_visitante,time_visitante,status,resultado
1,1,São Paulo,0.0,0.0,Recife,Finalizado,Empate
2,1,Cruzeiro,2.0,1.0,Mirassol,Finalizado,Mandante
3,1,Grêmio,2.0,1.0,Mineiro,Finalizado,Mandante
4,1,Fortaleza,2.0,0.0,Fluminense,Finalizado,Mandante
5,1,Juventude,2.0,0.0,Vitória,Finalizado,Mandante
6,1,Flamengo,1.0,1.0,Internacional,Finalizado,Empate
7,1,Palmeiras,0.0,0.0,Botafogo,Finalizado,Empate
8,1,Vasco da Gama,2.0,1.0,Santos,Finalizado,Mandante
9,1,Bahia,1.0,1.0,Corinthians,Finalizado,Empate
10,1,Bragantino,2.0,2.0,Ceará,Finalizado,Empate
11,2,Corinthians,3.0,0.0,Vasco da Gama,Finalizado,Mandante
12,2,Ceará,2.0,0.0,Grêmio,Finalizado,Mandante
13,2,Botafogo,2.0,0.0,Juventude,Finalizado,Mandante
14,2,Fluminense,2.0,1.0,Bragantino,Finalizado,Mandante
15,2,Mineiro,0.0,0.0,São Paulo,Finalizado,Empate
16,2,Mirassol,1.0,1.0,Fortaleza,Finalizado,Empate
17,2,Internacional,3.0,0.0,Cruzeiro,Finalizado,Mandante
18,2,Vitória,1.0,2.0,Flamengo,Finalizado,Visitante
19,2,Recife,1.0,2.0,Palmeiras,Finalizado,Visitante
20,2,Santos,2.0,2.0,Bahia,Finalizado,Empate
21,3,Bragantino,1.0,0.0,Botafogo,Finalizado,Mandante
22,3,Juventude,2.0,1.0,Ceará,Finalizado,Mandante
23,3,Palmeiras,2.0,0.0,Corinthians,Finalizado,Mandante
24,3,Vasco da Gama,3.0,1.0,Recife,Finalizado,Mandante
25,3,Bahia,1.0,1.0,Mirassol,Finalizado,Empate
26,3,São Paulo,1.0,1.0,Cruzeiro,Finalizado,Empate
27,3,Grêmio,0.0,2.0,Flamengo,Finalizado,Visitante
28,3,Fluminense,1.0,0.0,Santos,Finalizado,Mandante
29,3,Fortaleza,0.0,0.0,Internacional,Finalizado,Empate
30,3,Mineiro,2.0,2.0,Vitória,Finalizado,Empate
31,4,Ceará,2.0,1.0,Vasco da Gama,Finalizado,Mandante
32,4,Botafogo,2.0,2.0,São Paulo,Finalizado,Empate
33,4,Mirassol,4.0,1.0,Grêmio,Finalizado,Mandante
34,4,Recife,0.0,1.0,Bragantino,Finalizado,Visitante
35,4,Corinthians,0.0,2.0,Fluminense,Finalizado,Visitante
36,4,Internacional,0.0,1.0,Palmeiras,Finalizado,Visitante
37,4,Flamengo,6.0,0.0,Juventude,Finalizado,Mandante
38,4,Santos,2.0,0.0,Mineiro,Finalizado,Mandante
39,4,Vitória,2.0,1.0,Fortaleza,Finalizado,Mandante
40,4,Cruzeiro,3.0,0.0,Bahia,Finalizado,Mandante
41,5,Corinthians,2.0,1.0,Recife,Finalizado,Mandante
42,5,Vasco da Gama,0.0,0.0,Flamengo,Finalizado,Empate
43,5,Grêmio,1.0,1.0,Internacional,Finalizado,Empate
44,5,Juventude,2.0,2.0,Mirassol,Finalizado,Empate
45,5,São Paulo,2.0,1.0,Santos,Finalizado,Mandante
46,5,Mineiro,1.0,0.0,Botafogo,Finalizado,Mandante
47,5,Fluminense,1.0,1.0,Vitória,Finalizado,Empate
48,5,Fortaleza,1.0,2.0,Palmeiras,Finalizado,Visitante
49,5,Bragantino,1.0,0.0,Cruzeiro,Finalizado,Mandante
50,5,Bahia,1.0,0.0,Ceará,Finalizado,Mandante
51,6,Internacional,3.0,1.0,Juventude,Finalizado,Mandante
52,6,Mirassol,2.0,2.0,Mineiro,Finalizado,Empate
53,6,Ceará,1.0,1.0,São Paulo,Finalizado,Empate
54,6,Recife,0.0,0.0,Fortaleza,Finalizado,Empate
55,6,Botafogo,2.0,0.0,Fluminense,Finalizado,Mandante
56,6,Flamengo,4.0,0.0,Corinthians,Finalizado,Mandante
57,6,Palmeiras,0.0,1.0,Bahia,Finalizado,Visitante
58,6,Cruzeiro,1.0,0.0,Vasco da Gama,Finalizado,Mandante
59,6,Vitória,1.0,1.0,Grêmio,Finalizado,Empate
60,6,Santos,1.0,2.0,Bragantino,Finalizado,Visitante
61,7,São Paulo,0.0,0.0,Fortaleza,Finalizado,Empate
62,7,Fluminense,2.0,1.0,Recife,Finalizado,Mandante
63,7,Corinthians,4.0,2.0,Internacional,Finalizado,Mandante
64,7,Ceará,1.0,0.0,Vitória,Finalizado,Mandante
65,7,Bahia,1.0,0.0,Botafogo,Finalizado,Mandante
66,7,Vasco da Gama,0.0,1.0,Palmeiras,Finalizado,Visitante
67,7,Grêmio,1.0,0.0,Santos,Finalizado,Mandante
68,7,Cruzeiro,2.0,1.0,Flamengo,Finalizado,Mandante
